codigo,nombre
BEF01,ETICA Y FILOSOFIA POLITICA
BEG01,ECONOMIA GENERAL
BFI01,FISICA I
BIC01,INTRODUCCION A LA COMPUTACION
BMA01,CALCULO DIFERENCIAL
BMA02,CALCULO INTEGRAL
BMA03,ALGEBRA LINEAL
BQU01,QUIMICA I
BRC01,REDACCION Y COMUNICACION
BRN01,"REALIDAD NACIONAL, CONSTITUCION Y DERECHOS HUMANOS"
CC0A2,PROGRAMACION DE DISPOSITIVOS MOVILES
CC0A5,CALIDAD DE SOFTWARE
CC0E3,COMPILADORES
CC112,FUNDAMENTOS DE PROGRAMACION
CC202,BASE DE DATOS
CC211,PROGRAMACION ORIENTADA A OBJETOS
CC221,ARQUITECTURA DE COMPUTADORES
CC222,SISTEMAS OPERATIVOS
CC232,ALGORITMOS Y ESTRUCTURAS DE DATOS
CC311,COMPUTACION CENTRADA EN REDES
CC312,ADMINISTRACION DE REDES
CC321,"TEORIA DE AUTOMATAS, LENGUAJES Y COMPUTACION"
CC332,PROGRAMACION PARALELA
CC341,INGENIERIA DE SOFTWARE
CC371,ANALISIS Y DISEÑO DE ALGORITMOS
CC3M2,MATEMATICA COMPUTACIONAL
CC3S2,DESARROLLO DE SOFTWARE
CC411,SEGURIDAD EN SISTEMAS INFORMATICOS
CC412,PROYECTO DE TESIS I
CC421,INTELIGENCIA ARTIFICIAL
CC422,INFRAESTRUCTURAS DE COMPUTACION
CC432,ROBOTICA
CC442,MINERIA DE DATOS
CC451,INTERACCION HUMANOCOMPUTADOR
CC4H1,METODOLOGIA DE LA INVESTIGACION
CC4P1,PROGRAMACION CONCURRENTE Y DISTRIBUIDA
CC511,PROYECTO DE TESIS II
CC512,PROYECTO DE TESIS III
CC521,PROGRAMACION EVOLUTIVA
CC531,ANALISIS EN MACRODATOS
CF001,TOPICOS ESPECIALES I
CF002,TOPICOS ESPECIALES II
CF046,INTRODUCCION A LA ASTRONOMIA
CF049,ELECTROMAGNETISMO II
CF060,METODOS NUMERICOS
CF076,INTRODUCCION A LA ELECTRODINAMICA CUANTICA
CF1B2,FISICA II
CF1C2,ALGEBRA LINEAL PARA FISICOS I
CF2B1,FISICA III
CF2B2,OPTICA CLASICA
CF2C1,ALGEBRA LINEAL PARA FISICOS II
CF2C2,METODOS MATEMATICOS PARA FISICOS I
CF3C1,METODOS MATEMATICOS PARA FISICOS II
CF3E1,CIRCUITOS ELECTRONICOS ANALOGICOS
CF3F1,MECANICA CLASICA
CF3F2,MECANICA CUANTICA I
CF3F3,FISICA MODERNA
CF3F4,ELECTROMAGNETISMO I
CF4D2,PROYECTO DE TESIS I
CF4E1,LABORATORIO DE FISICA INTERMEDIA
CF4E2,LABORATORIO DE FISICA AVANZADA
CF4F1,TERMODINAMICA Y MECANICA ESTADISTICA
CF4F2,FISICA ATOMICA Y MOLECULAR
CF4F3,MECANICA CUANTICA II
CF5D1,PROYECTO DE TESIS II
CF5D2,PROYECTO DE TESIS III
CF5F1,FISICA DEL ESTADO SOLIDO I
CF5F3,FISICA NUCLEAR Y DE PARTICULAS
CH033,METODOLOGIA DE LA INVESTIGACION CIENTIFICA
CH061,BIOLOGIA
CL002,INGLES I
CM039,ANALISIS ITERATIVOS MATRICIALES
CM090,INTRODUCCION A LOS ELEMENTOS FINITOS
CM1A2,LOGICA Y TEORIA DE CONJUNTOS
CM1B2,ALGEBRA LINEAL I
CM1H2,CALCULO DE PROBABILIDADES
CM2A1,CALCULO DIFERENCIAL E INTEGRAL AVANZADO
CM2A2,ANALISIS REAL
CM2B1,ALGEBRA LINEAL II
CM2F1,PROGRAMACION ESTRUCTURADA
CM2F2,PROCESADOR DE TEXTO Y PROGRAMACION
CM2G2,INTRODUCCION A LAS ECUACIONES DIFERENCIALES ORDINARIAS
CM2H1,MATEMATICA DISCRETA
CM2H2,ESTADISTICA INFERENCIAL
CM2I2,ESTRUCTURAS ALGEBRAICAS
CM3A1,ANALISIS COMPLEJO
CM3C1,ANALISIS EN RN
CM3C2,TEORIA DE LA MEDIDA
CM3E2,ANALISIS CONVEXO
CM3G2,ECUACIONES DIFERENCIALES ORDINARIAS I
CM3I1,TEORIA LOCAL DE SUPERFICIES
CM3I2,TOPOLOGIA
CM4C1,ANALISIS FUNCIONAL I
CM4C2,ANALISIS FUNCIONAL II
CM4D2,PROYECTO DE TESIS I
CM4E1,PROGRAMACION LINEAL Y FLUJO EN REDES
CM4E2,PROGRAMACION NO LINEAL
CM4F1,ANALISIS Y MODELAMIENTO NUMERICO I
CM4G2,ECUACIONES DIFERENCIALES PARCIALES I
CM4H1,TEORIA DE LA PROBABILIDAD
CM5D1,PROYECTO DE TESIS II
CM5D2,PROYECTO DE TESIS III
CM5F1,ANALISIS Y MODELAMIENTO NUMERICO II
CM5H1,INTRODUCCION A LOS PROCESOS ESTOCASTICOS
CQ013,ELECTROQUIMICA APLICADA
CQ037,QUIMICA BIOINORGANICA
CQ063,CATALISIS QUIMICA
CQ085,QUIMIOMETRIA
CQ102,QUIMICA EXPERIMENTAL
CQ132,QUIMICA CIENCIA Y TECNOLOGIA
CQ221,INTRODUCCION A LA ELECTRICIDAD Y MAGNETISMO
CQ241,"ELEMENTOS QUIMICOS, PROPIEDADES Y APLICACIONES"
CQ242,ESTRUCTURA QUIMICA Y REACTIVIDAD
CQ261,"HIDROCARBUROS ALIFATICOS, ALCOHOLES Y DERIVADOS"
CQ262,COMPUESTOS CARBONILICOS Y AROMATICOS
CQ271,PRINCIPIOS DE FISICOQUIMICA
CQ272,FUNDAMENTOS DE ELECTROQUIMICA
CQ2E2,QUIMICA ANALITICA
CQ300,METODOS NUMERICOS APLICADOS A LA QUIMICA
CQ301,QUIMICA DE COORDINACION
CQ302,QUIMICA INORGANICA APLICADA
CQ361,"CARBOHIDRATOS, AMINOACIDOS Y HETEROCICLICOS"
CQ371,CINETICA QUIMICA Y FENOMENOS DE SUPERFICIE
CQ372,QUIMICA DE COLOIDES Y NANOPARTICULAS
CQ381,TRATAMIENTO ESTADISTICO EN QUIMICA ANALITICA
