cod_curso,nombre_curso,seccion,tipo_clase,aula,docente,dia,empieza_en,termina_en
BEF01,ETICA Y FILOSOFIA POLITICA,A,Teoria,zoom92,"ROMERO CIEZA,  JOSE",Viernes,11:00:00,12:00:00
BEF01,ETICA Y FILOSOFIA POLITICA,A,Practica,zoom92,"ROMERO CIEZA,  JOSE",Viernes,12:00:00,14:00:00
BEF01,ETICA Y FILOSOFIA POLITICA,B,Teoria,zoom157,"ROMERO CIEZA,  JOSE",Miercoles,15:00:00,16:00:00
BEF01,ETICA Y FILOSOFIA POLITICA,B,Practica,zoom157,"ROMERO CIEZA,  JOSE",Miercoles,16:00:00,18:00:00
BEF01,ETICA Y FILOSOFIA POLITICA,C,Practica,zoom163,"ROMERO CIEZA,  JOSE",Viernes,20:00:00,22:00:00
BEF01,ETICA Y FILOSOFIA POLITICA,C,Teoria,zoom163,"ROMERO CIEZA,  JOSE",Viernes,19:00:00,20:00:00
BEG01,ECONOMIA GENERAL,A,Teoria,zoom161,"VERA RONCALLA,  CESAR ANIBAL",Lunes,16:00:00,18:00:00
BEG01,ECONOMIA GENERAL,A,Practica,zoom159,"VERA RONCALLA,  CESAR ANIBAL",Martes,17:00:00,19:00:00
BEG01,ECONOMIA GENERAL,B,Teoria,zoom24,"ZAVALETA HUACCHA,  WILLIAM FERNANDO",Viernes,8:00:00,10:00:00
BEG01,ECONOMIA GENERAL,B,Practica,zoom165,"ZAVALETA HUACCHA,  WILLIAM FERNANDO",Martes,17:00:00,19:00:00
BEG01,ECONOMIA GENERAL,C,Teoria,zoom25,"CLAVIJO RAMOS,  RAUL HUMBERTO",Lunes,16:00:00,18:00:00
BEG01,ECONOMIA GENERAL,C,Practica,zoom152,"CLAVIJO RAMOS,  RAUL HUMBERTO",Martes,16:00:00,18:00:00
BFI01,FISICA I,A,Laboratorio,zoom164,"CUYUBAMBA ESPINOZA,  MARCO ANTONIO",Viernes,13:00:00,15:00:00
BFI01,FISICA I,A,Teoria,zoom25,"BROCCA POBES,  MANUEL ENRIQUE",Lunes,10:00:00,12:00:00
BFI01,FISICA I,A,Practica,J3-182A,"INGA CAQUI,  MARVYN WILLIAM",Viernes,8:00:00,10:00:00
BFI01,FISICA I,A,Teoria,zoom70,"BROCCA POBES,  MANUEL ENRIQUE",Miercoles,10:00:00,12:00:00
BFI01,FISICA I,B,Teoria,zoom160,"BROCCA POBES,  MANUEL ENRIQUE",Miercoles,14:00:00,16:00:00
BFI01,FISICA I,B,Teoria,zoom25,"BROCCA POBES,  MANUEL ENRIQUE",Lunes,14:00:00,16:00:00
BFI01,FISICA I,B,Practica,zoom160,"SALAZAR RODRIGUEZ,  ROBERTO",Viernes,8:00:00,10:00:00
BFI01,FISICA I,B,Laboratorio,zoom165,"SALAZAR RODRIGUEZ,  ROBERTO",Viernes,8:00:00,10:00:00
BFI01,FISICA I,C,Practica,zoom158,"RODRIGUEZ LAURA,  SANDRO MIGUEL",Viernes,8:00:00,10:00:00
BFI01,FISICA I,C,Laboratorio,zoom165,"RODRIGUEZ LAURA,  SANDRO MIGUEL",Viernes,10:00:00,12:00:00
BFI01,FISICA I,C,Teoria,zoom23,"CUYUBAMBA ESPINOZA,  MARCO ANTONIO",Martes,8:00:00,10:00:00
BFI01,FISICA I,C,Teoria,zoom93,"CUYUBAMBA ESPINOZA,  MARCO ANTONIO",Jueves,8:00:00,10:00:00
BFI01,FISICA I,D,Teoria,zoom164,"ALTAMIRANO MACETAS,  ALEJANDRA",Martes,10:00:00,12:00:00
BFI01,FISICA I,D,Practica,zoom161,"CORTEZ REYES,  GREGORIO CUSTODIO",Viernes,8:00:00,10:00:00
BFI01,FISICA I,D,Teoria,zoom91,"ALTAMIRANO MACETAS,  ALEJANDRA",Viernes,10:00:00,12:00:00
BFI01,FISICA I,D,Laboratorio,zoom93,"CORTEZ REYES,  GREGORIO CUSTODIO",Jueves,10:00:00,12:00:00
BIC01,INTRODUCCION A LA COMPUTACION,A,Laboratorio,zoom91,"VALER QUISPE,  SIDNEY",Sabado,10:00:00,12:00:00
BIC01,INTRODUCCION A LA COMPUTACION,A,Teoria,zoom91,"ARRUNÁTEGUI ANGULO,  GIPSY MIGUEL",Sabado,8:00:00,9:00:00
BIC01,INTRODUCCION A LA COMPUTACION,B,Laboratorio,zoom24,"CHULLUNCUY REYNOSO,  AMERICO ANDRES",Sabado,12:00:00,14:00:00
BIC01,INTRODUCCION A LA COMPUTACION,B,Teoria,zoom24,"CHULLUNCUY REYNOSO,  AMERICO ANDRES",Sabado,11:00:00,12:00:00
BIC01,INTRODUCCION A LA COMPUTACION,C,Laboratorio,zoom69,"ALANIA VICENTE,  MARCOS ANTONIO",Sabado,16:00:00,18:00:00
BIC01,INTRODUCCION A LA COMPUTACION,C,Teoria,zoom69,"ALANIA VICENTE,  MARCOS ANTONIO",Sabado,15:00:00,16:00:00
BIC01,INTRODUCCION A LA COMPUTACION,D,Laboratorio,zoom90,"NAVARRO HUAMANI,  LUIS ALBERTO",Sabado,10:00:00,12:00:00
BIC01,INTRODUCCION A LA COMPUTACION,D,Teoria,zoom90,"ARRUNÁTEGUI ANGULO,  GIPSY MIGUEL",Sabado,9:00:00,10:00:00
BIC01,INTRODUCCION A LA COMPUTACION,E,Teoria,zoom25,"ALANIA VICENTE,  MARCOS ANTONIO",Sabado,11:00:00,12:00:00
BIC01,INTRODUCCION A LA COMPUTACION,E,Laboratorio,zoom25,"ALANIA VICENTE,  MARCOS ANTONIO",Sabado,12:00:00,14:00:00
BIC01,INTRODUCCION A LA COMPUTACION,F,Laboratorio,zoom70,"CHULLUNCUY REYNOSO,  AMERICO ANDRES",Sabado,16:00:00,18:00:00
BIC01,INTRODUCCION A LA COMPUTACION,F,Teoria,zoom70,"CHULLUNCUY REYNOSO,  AMERICO ANDRES",Sabado,15:00:00,16:00:00
BMA01,CALCULO DIFERENCIAL,A,Teoria,zoom93,"PANIZO GARCIA,  GONZALO",Martes,8:00:00,10:00:00
BMA01,CALCULO DIFERENCIAL,A,Teoria,zoom160,"PANIZO GARCIA,  GONZALO",Viernes,10:00:00,12:00:00
BMA01,CALCULO DIFERENCIAL,A,Practica,zoom25,"OSTOS CORDERO,  BENITO LEONARDO",Lunes,8:00:00,10:00:00
BMA01,CALCULO DIFERENCIAL,B,Teoria,zoom69,"VALVERDE MONTORO,  JOHNNY MOISES",Martes,10:00:00,12:00:00
BMA01,CALCULO DIFERENCIAL,B,Teoria,zoom69,"VALVERDE MONTORO,  JOHNNY MOISES",Jueves,10:00:00,12:00:00
BMA01,CALCULO DIFERENCIAL,B,Practica,zoom70,"LA ROSA OBANDO,  LAURA BETZABE",Lunes,8:00:00,10:00:00
BMA01,CALCULO DIFERENCIAL,C,Teoria,zoom24,"VILLANUEVA SANTOS,  FELIX RICARDO",Lunes,14:00:00,16:00:00
BMA01,CALCULO DIFERENCIAL,C,Practica,zoom89,"NAVARRO ROJAS,  FRANK",Lunes,8:00:00,10:00:00
BMA01,CALCULO DIFERENCIAL,C,Teoria,zoom89,"VILLANUEVA SANTOS,  FELIX RICARDO",Miercoles,14:00:00,16:00:00
BMA01,CALCULO DIFERENCIAL,D,Teoria,zoom25,"METZGER ALVAN,  ROGER JAVIER",Miercoles,10:00:00,12:00:00
BMA01,CALCULO DIFERENCIAL,D,Practica,zoom24,"ROCA GALINDO,  LUIS RODOLFO",Lunes,8:00:00,10:00:00
BMA01,CALCULO DIFERENCIAL,D,Teoria,zoom69,"METZGER ALVAN,  ROGER JAVIER",Lunes,10:00:00,12:00:00
BMA01,CALCULO DIFERENCIAL,E,Teoria,zoom156,"PALACIOS BALDEON,  JOE ALBINO",Martes,10:00:00,12:00:00
BMA01,CALCULO DIFERENCIAL,E,Practica,zoom161,"PALACIOS BALDEON,  JOE ALBINO",Lunes,8:00:00,10:00:00
BMA01,CALCULO DIFERENCIAL,E,Teoria,zoom22,"PALACIOS BALDEON,  JOE ALBINO",Jueves,10:00:00,12:00:00
BMA02,CALCULO INTEGRAL,A,Teoria,zoom89,"ESCALANTE DEL ÁGUILA,  SEGUNDO FÉLIX",Jueves,8:00:00,10:00:00
BMA02,CALCULO INTEGRAL,A,Teoria,zoom70,"ESCALANTE DEL ÁGUILA,  SEGUNDO FÉLIX",Martes,8:00:00,10:00:00
BMA02,CALCULO INTEGRAL,A,Practica,zoom90,"ORE ALBORNOZ,  ERNESTO",Lunes,8:00:00,10:00:00
BMA02,CALCULO INTEGRAL,B,Practica,zoom92,"CAYTUIRO SANDOVAL,  DAVID PAUL",Lunes,8:00:00,10:00:00
BMA02,CALCULO INTEGRAL,B,Teoria,zoom23,"CAYTUIRO SANDOVAL,  DAVID PAUL",Viernes,10:00:00,12:00:00
BMA02,CALCULO INTEGRAL,B,Teoria,zoom90,"CAYTUIRO SANDOVAL,  DAVID PAUL",Lunes,10:00:00,12:00:00
BMA02,CALCULO INTEGRAL,C,Teoria,zoom70,"CRIBILLERO ACHING,  JUAN AURELIO",Miercoles,14:00:00,16:00:00
BMA02,CALCULO INTEGRAL,C,Teoria,zoom89,"CRIBILLERO ACHING,  JUAN AURELIO",Lunes,14:00:00,16:00:00
BMA02,CALCULO INTEGRAL,C,Practica,zoom93,"ACUÑA ORTEGA,  RICHARD FLAVIO",Lunes,8:00:00,10:00:00
BMA02,CALCULO INTEGRAL,D,Teoria,zoom70,"ORE ALBORNOZ,  ERNESTO",Jueves,16:00:00,18:00:00
BMA02,CALCULO INTEGRAL,D,Teoria,zoom70,"ORE ALBORNOZ,  ERNESTO",Martes,16:00:00,18:00:00
BMA02,CALCULO INTEGRAL,D,Practica,zoom91,"ZAMUDIO PEVES,  JOSE FERNANDO",Lunes,8:00:00,10:00:00
BMA03,ALGEBRA LINEAL,A,Teoria,zoom25,"ZAMUDIO PEVES,  JOSE FERNANDO",Martes,10:00:00,12:00:00
BMA03,ALGEBRA LINEAL,A,Teoria,zoom25,"ZAMUDIO PEVES,  JOSE FERNANDO",Jueves,10:00:00,12:00:00
BMA03,ALGEBRA LINEAL,A,Practica,zoom25,"ORE ALBORNOZ,  ERNESTO",Miercoles,8:00:00,10:00:00
BMA03,ALGEBRA LINEAL,B,Teoria,zoom69,"ACUÑA ORTEGA,  RICHARD FLAVIO",Martes,8:00:00,10:00:00
BMA03,ALGEBRA LINEAL,B,Practica,zoom70,"ACUÑA ORTEGA,  RICHARD FLAVIO",Miercoles,8:00:00,10:00:00
BMA03,ALGEBRA LINEAL,B,Teoria,zoom69,"ACUÑA ORTEGA,  RICHARD FLAVIO",Jueves,8:00:00,10:00:00
BMA03,ALGEBRA LINEAL,C,Practica,zoom89,"PAREDES SORIA,  LEOPOLDO",Miercoles,8:00:00,10:00:00
BMA03,ALGEBRA LINEAL,C,Teoria,zoom89,"ROCA GALINDO,  LUIS RODOLFO",Martes,15:00:00,17:00:00
BMA03,ALGEBRA LINEAL,C,Teoria,zoom159,"ROCA GALINDO,  LUIS RODOLFO",Jueves,14:00:00,16:00:00
BMA03,ALGEBRA LINEAL,D,Teoria,zoom25,"CHULLUNCUY CENTENO,  ANDRES VICENTE",Viernes,14:00:00,16:00:00
BMA03,ALGEBRA LINEAL,D,Practica,zoom91,"CRIBILLERO ACHING,  JUAN AURELIO",Miercoles,8:00:00,10:00:00
BMA03,ALGEBRA LINEAL,D,Teoria,zoom25,"CHULLUNCUY CENTENO,  ANDRES VICENTE",Jueves,14:00:00,16:00:00
BMA03,ALGEBRA LINEAL,E,Teoria,zoom159,"PANIZO GARCIA,  GONZALO",Viernes,14:00:00,16:00:00
BMA03,ALGEBRA LINEAL,E,Practica,zoom156,"PANIZO GARCIA,  GONZALO",Miercoles,8:00:00,10:00:00
BMA03,ALGEBRA LINEAL,E,Teoria,zoom92,"PANIZO GARCIA,  GONZALO",Martes,14:00:00,16:00:00
BQU01,QUIMICA I,A,Teoria,zoom93,"FLORES GARCES,  JOSE AUGUSTO",Martes,15:00:00,17:00:00
BQU01,QUIMICA I,A,Teoria,zoom153,"FLORES GARCES,  JOSE AUGUSTO",Lunes,16:00:00,18:00:00
BQU01,QUIMICA I,A,Laboratorio,zoom157,"DAVILA INGARUCA,  MARCELINO EUSEBIO",Miercoles,13:00:00,15:00:00
BQU01,QUIMICA I,B,Teoria,zoom153,"FLORES GARCES,  JOSE AUGUSTO",Lunes,16:00:00,18:00:00
BQU01,QUIMICA I,B,Teoria,zoom93,"FLORES GARCES,  JOSE AUGUSTO",Martes,15:00:00,17:00:00
BQU01,QUIMICA I,B,Laboratorio,zoom69,"CORZO LUCIONI,  ALBERTO",Miercoles,17:00:00,19:00:00
BQU01,QUIMICA I,C,Teoria,zoom24,"DURAND AGUILAR,  KORALI CAROLINA",Miercoles,10:00:00,12:00:00
BQU01,QUIMICA I,C,Laboratorio,zoom89,"DAVILA INGARUCA,  MARCELINO EUSEBIO",Viernes,10:00:00,12:00:00
BQU01,QUIMICA I,C,Teoria,zoom153,"DURAND AGUILAR,  KORALI CAROLINA",Lunes,10:00:00,12:00:00
BQU01,QUIMICA I,D,Teoria,zoom24,"DURAND AGUILAR,  KORALI CAROLINA",Miercoles,10:00:00,12:00:00
BQU01,QUIMICA I,D,Laboratorio,zoom157,"SAYAN RIVERA,  ROSA MARIA ELIZABETH",Jueves,12:00:00,14:00:00
